model,cv_roc_auc,cv_pr_auc,cv_best_thr,cv_f1,cv_precision,cv_recall
grad_boost,0.8464129040911923,0.6591600552190663,0.35,0.6332629037126472,0.577007700770077,0.7016722408026755
logreg_C1.0,0.8454389723011634,0.657512999369636,0.5499999999999999,0.6368435676576827,0.5446768060836502,0.7665551839464882
logreg_C5.0,0.8456114082457351,0.6569634711142537,0.5499999999999999,0.635809312638581,0.542830099384761,0.7672240802675585
logreg_C0.1,0.8449397645853417,0.6568220997037232,0.5499999999999999,0.6372767857142857,0.546673049305888,0.7638795986622073
logreg_C10.0,0.8455887830983684,0.6565259936492963,0.6,0.6363636363636364,0.572421165152325,0.7163879598662207
sgd_log_alpha0.01,0.8438607066641564,0.6554183156697441,0.6,0.6347377993331312,0.5803769401330376,0.7003344481605351
sgd_log_alpha0.001,0.8401661817074066,0.6451983609261495,0.49999999999999994,0.6336905743336081,0.5377798507462687,0.7712374581939799
random_forest,0.8208036613952765,0.6081089714302315,0.3,0.607132667617689,0.5293532338308458,0.711705685618729
sgd_log_alpha0.0001,0.8189308648220168,0.5940133059360778,0.44999999999999996,0.6013478486262313,0.49090139652983494,0.7759197324414716
